

table: ~geofact  (^relation ^area ^value ) 

^createfact(^value ^relation ^area)
^addproperty(^area   NOUN_PROPER_SINGULAR NOUN LOCATIONWORD ALWAYS_PROPER_NAME_MERGE)

DATA:
# size in square km
GDP "Denmark" 37100
GDP "Republic_of_Djibouti" 1000
GDP "Commonwealth_of_Dominica" 3800
GDP "Dominican Republic" 8400
GDP "Ecuador" 4500
GDP "European Union" 29900
GDP "Egypt" 4200
GDP "Republic of Ireland" 44500
GDP "Republic of Equatorial Guinea" 50200
GDP "Republic_of_Estonia" 20300
GDP "Eritrea" 1000
GDP "El Salvador" 4900
GDP "Ethiopia" 1000
GDP "Czech Republic" 22000
GDP "Finland" 33500
GDP "Fiji" 6200
GDP "Federated States of Micronesia" 2300
GDP "Faroe Islands" 31000
GDP "France" 31200
GDP "Gambia" 2000
GDP "Gabon" 7100
GDP "Georgia" 3900
GDP "Ghana" 2700
GDP "Gibraltar" 27900
GDP "Grenada" 3900
GDP "Greenland" 20000
GDP "Germany" 31900
GDP "Greece" 24000
GDP "Guatemala" 5000
GDP "Republic_of_Guinea" 2100
GDP "Guyana" 4900
GDP "Haiti" 1800
GDP "Hong Kong" 37300
GDP "Honduras" 3100
GDP "Croatia" 13400
GDP "Hungary" 17500
GDP "Iceland" 38000
GDP "Indonesia" 3900
GDP "India" 3800
GDP "Islamic_Republic_of_Iran" 8700
GDP "Israel" 26800
GDP "Italy" 30200
GDP "Cote d'Ivoire" 1600
GDP "Iraq" 1900
GDP "Japan" 33100
GDP "Jamaica" 4700
GDP "Jordan" 5100
GDP "Republic_of_Kenya" 1200
GDP "Kyrgyzstan" 2100
GDP "Democratic People's Republic of Korea" 1800
GDP "Kiribati" 2800
GDP "Republic of Korea" 24500
GDP "Kuwait" 23100
GDP "Kazakhstan" 9400
GDP "Lao_people_'s_Democratic_Republic" 2200
GDP "Lebanon" 5900
GDP "Republic_of_Latvia" 16000
GDP "Republic_of_Lithuania" 15300
GDP "Liberia" 900
GDP "Slovakia" 18200
GDP "Principality of Liechtenstein" 25000
GDP "Kingdom_of_Lesotho" 2700
GDP "Luxembourg" 71400
GDP "Great_Socialist_People_'s_Libyan_Arab_Jamahiriya" 12300
GDP "Madagascar" 900
GDP "Republic_of_Moldova" 2000
GDP "Mongolia" 2100
GDP "Malawi" 600
GDP "Montenegro" 3800
GDP "Republic of Macedonia" 8300
GDP "Mali" 1300
GDP "Monaco" 30000
GDP "Morocco" 4600
GDP "Mauritius" 13700
GDP "Mauritania" 2600
GDP "Malta" 21300
GDP "Sultanate_of_Oman" 14400
GDP "Republic_of_Maldives" 3900
GDP "Mexico" 10700
GDP "Malaysia" 12800
GDP "Mozambique" 1500
GDP "Niue" 5800
GDP "Republic_of_Niger" 1000
GDP "Republic_of_Vanuatu" 2900
GDP "Nigeria" 1500
GDP "Netherlands" 32100
GDP "Norway" 46300
GDP "Nepal" 1500
GDP "Republic_of_Nauru" 5000
GDP "Republic_of_Suriname" 7100
GDP "Nicaragua" 3100
GDP "New zealand" 26200
GDP "Paraguay" 4800
GDP "Peru" 6600
GDP "Pakistan" 2600
GDP "Poland" 14400
GDP "Panama" 8200
GDP "Portugal" 19800
GDP "Independent State of Papua New Guinea" 2700
GDP "Republic_of_Palau" 7600
GDP "Guinea-Bissau" 900
GDP "Qatar" 29800
GDP "Serbia" 4400
GDP "Romania" 9100
GDP "Philippines" 5000
GDP "Puerto Rico" 19300
GDP "Russian_Federation" 12200
GDP "Rwanda" 1600
GDP "Saudi Arabia" 13800
GDP "Federation of Saint Kitts and Nevis" 8200
GDP "Republic_of_Seychelles" 7800
GDP "South Africa" 13300
GDP "Senegal" 1800
GDP "Slovenia" 23400
GDP "Sierra Leone" 900
GDP "Most Serene Republic of San Marino" 34100
GDP "Republic_of_Singapore" 31400
GDP "Somalia" 600
GDP "Spain" 27400
GDP "Saint Lucia" 4800
GDP "Sudan" 2400
GDP "Sweden" 32200
GDP "Syrian_Arab_Fepublic" 4100
GDP "Switzerland" 34000
GDP "Trinidad and Tobago" 19800
GDP "Thailand" 9200
GDP "Tajikistan" 1300
GDP "Tonga" 2200
GDP "Togo" 1700
GDP "Democratic Republic of Sao Tome and Principe" 1200
GDP "Tunisia" 8900
GDP "Democratic_Republic_of_Timor-Leste" 800
GDP "Turkey" 9100
GDP "Tuvalu" 1600
GDP "Republic_of_China" 29600
GDP "Turkmenistan" 8500
GDP "United_Republic_of_Tanzania" 800
GDP "Uganda" 1900
GDP "United Kingdom" 31800
GDP "Ukraine" 7800
GDP "United States of America" 43800
GDP "Burkina faso" 1400
GDP "Republica_Oriental_del_Uruguay" 10900
GDP "Uzbekistan" 2000
GDP "Saint Cincent and the Grenadines" 3600
GDP "Bolivarian_Republic_of_Venezuela" 7200
GDP "Vietnam" 3100
GDP "Namibia" 7500
GDP "Samoa" 2100
GDP "Swaziland" 5300
GDP "Yemen" 1000
GDP "Zambia" 1000
GDP "Republic_of_Zimbabwe" 2100

