# be wary of 's etc, must show the  that tokenizer would use
# there are no items in this file, only base



table: ~roles(^actor ^title)
if (! ^pos(NOUN ^title lowercaseexist))
{
	createfact(^title star ^actor)
	if (! ^pos(NOUN ^title lowercaseexist))
	{
		^addproperty(^title NOUN_TITLE)
W_C_Fields The_Bank_Dick
Cloris_Leachman Kiss_Me_Deadly
Agnes_Moorehead All_That_Heaven_Allows
Harrison_Ford American_Graffiti
Warner_Oland The_Jazz_Singer
Edward_Sinclair Dads_Army
Eliza_Dushku True_Lies
Buster_Keaton The_General
Wayne_Knight Jurassic_Park
Cherry_Jones 4
Katie_Johnson The_Ladykillers
Rumi_Hiiragi Spirited_Away
Victor_Mc_Laglen The_Quiet_Man
Beah_Richards Guess_Whos_Coming_To_Dinner
Bernard_Lee The_Third_Man
Ashley_Laurence Hellraiser
Antonio_Moreno Creature_From_The_Black_Lagoon
Douglas_Seale Aladdin
Jack_Buchanan The_Band_Wagon
Claire_Mc_Dowell The_Big_Parade
June_Whitfield Last_Of_The_Summer_Wine
Donald_Crisp The_Black_Pirate
Una_O_Connor Bride_Of_Frankenstein
Cary_Grant Bringing_Up_Baby
Donald_Crisp Broken_Blossoms
Sessue_Hayakawa The_Cheat
Lydia_Mendoza Chulas_Fronteras
Harry_Myers City_Lights
Veronica_Lake Sullivans_Travels
Leo_G_Carroll North_By_Northwest
Blanche_Sweet A_Corner_In_Wheat
L_M_Kit_Carson David_Holzmans_Diary
Sam_Jaffe_Actor The_Day_The_Earth_Stood_Still
Meryl_Streep The_Deer_Hunter
Samuel_L_Jackson Do_The_Right_Thing
Olga_Baclanova The_Docks_Of_New_York
Derroll_Adams Dont_Look_Back
Peter_Coyote E_T_The_Extra_Terrestrial
Karen_Black Easy_Rider
David_Villalpando El_Norte
Sheldon_Lewis The_Exploits_Of_Elaine
Herbert_Jay_Stern The_Fall_Of_The_House_Of_Usher1928_American
Roscoe_Arbuckle Fattys_Tintype_Tangle
Karen_Black Five_Easy_Pieces
Frank_Shannon Flash_Gordon_Serial
